employee_id,age,department,education,years_exp,annual_income,credit_score,loan_amount,satisfaction,churned
10001,43,Engineering,Master's,19,57931,700,3157.6731778718863,4.0,0
10002,36,Sales,Bachelor's,5,26089,641,21121.780822206783,4.0,0
10003,45,Engineering,Master's,26,22227,721,59205.89543551715,3.0,0
10004,56,Sales,Master's,27,36242,585,38319.07324833203,3.0,0
10005,35,Sales,Bachelor's,15,32790,560,24355.668667673723,5.0,0
10006,35,HR,Master's,15,27668,632,,5.0,0
10007,56,Operations,Master's,37,55151,762,19515.612467148767,3.0,0
10008,47,Operations,Bachelor's,28,64420,644,2391.989336411023,2.0,1
10009,32,Operations,Bachelor's,10,38293,530,28403.60381215712,5.0,0
10010,44,Engineering,Master's,24,88125,741,32283.335047845063,4.0,0
10011,32,Engineering,Bachelor's,13,18306,650,83832.77844043549,2.0,1
10012,32,Marketing,Bachelor's,11,32331,604,7541.055207043806,5.0,0
10013,40,Finance,Master's,21,23621,621,1000.0,2.0,1
10014,18,Operations,Master's,0,11849,570,19719.90098623222,4.0,0
10015,18,Finance,Bachelor's,0,34557,632,30671.698084965254,4.0,0
10016,31,Engineering,Bachelor's,7,33757,615,39064.74986380035,4.0,1
10017,25,Operations,Bachelor's,1,90045,693,5383.692112137675,3.0,0
10018,41,Marketing,Bachelor's,21,53023,570,7586.9161158303295,4.0,1
10019,27,Engineering,Bachelor's,7,19643,595,17966.28798272074,5.0,0
10020,21,Marketing,Master's,1,110465,645,10034.367504991753,4.0,1
10021,55,Engineering,Bachelor's,32,75555,714,49244.32555598929,4.0,0
10022,35,Sales,Bachelor's,15,51495,649,16049.954717176759,3.0,0
10023,38,Marketing,Bachelor's,19,31701,695,,5.0,0
10024,20,Marketing,PhD,1,20421,543,21724.431942512594,5.0,0
10025,31,Sales,Bachelor's,11,29047,647,37080.06100001319,5.0,0
10026,39,Finance,High School,19,69790,716,10111.876953627132,4.0,0
10027,24,Sales,High School,0,112504,764,44508.1206559002,5.0,0
10028,42,Marketing,Bachelor's,23,91669,700,8024.847211773141,3.0,0
10029,30,Finance,Bachelor's,10,27083,654,19746.8935850328,4.0,0
10030,34,Operations,Bachelor's,11,18550,564,6020.18841083538,4.0,0
10031,30,Engineering,Bachelor's,6,39518,547,16134.010449128717,4.0,0
10032,60,Sales,High School,40,12568,723,9574.563989562781,5.0,0
10033,37,Engineering,Bachelor's,17,44086,669,7755.126556190875,4.0,0
10034,25,Engineering,Bachelor's,5,33237,683,85269.84553479277,2.0,1
10035,47,Sales,High School,20,27457,607,4361.0402963499855,3.0,0
10036,23,Finance,High School,4,13949,639,38699.85094652702,3.0,0
10037,40,Engineering,High School,13,49422,740,,4.0,0
10038,18,Finance,High School,0,26380,637,1000.0,3.0,1
10039,22,Finance,Bachelor's,1,17998,627,30018.402373319826,2.0,1
10040,40,Operations,Bachelor's,21,6481,647,,4.0,0
10041,46,Engineering,Bachelor's,26,35720,617,1033.2568503594568,5.0,0
10042,40,Operations,Bachelor's,20,105171,778,12891.330570521572,5.0,0
10043,36,Marketing,PhD,17,98396,688,68418.11404294003,5.0,0
10044,34,Sales,Master's,12,27604,666,1000.0,5.0,0
10045,20,Engineering,Bachelor's,0,25302,557,22161.36303353686,2.0,1
10046,29,Engineering,Bachelor's,8,48110,607,17398.60113332578,5.0,0
10047,32,HR,Bachelor's,10,19949,693,51664.9423284359,3.0,0
10048,50,Marketing,Bachelor's,31,43524,682,2193.5196514291606,4.0,0
10049,42,Engineering,High School,22,57506,748,28605.363344960217,4.0,0
10050,18,Engineering,Master's,0,75823,657,28494.428739107876,5.0,0
10051,41,Sales,Bachelor's,20,34197,593,27646.966890398144,4.0,1
10052,33,Engineering,Master's,6,32138,673,71327.4029184373,2.0,1
10053,29,Finance,Bachelor's,7,21444,607,43302.5045720982,4.0,0
10054,45,Engineering,Master's,26,22111,697,1071.9757985526173,3.0,1
10055,50,Engineering,Master's,30,31701,686,15923.086924463118,5.0,0
10056,49,Marketing,High School,28,45270,630,12685.496424539328,4.0,0
10057,27,Sales,Bachelor's,7,62827,670,9281.926701396505,4.0,0
10058,34,Marketing,Bachelor's,10,22428,725,15006.759209142212,5.0,0
10059,41,Marketing,Bachelor's,17,88930,724,12120.59001037858,4.0,0
10060,49,Operations,Bachelor's,28,30863,678,14155.547125317913,3.0,0
10061,32,Sales,Bachelor's,12,35852,695,96894.52581068489,3.0,0
10062,35,Engineering,Bachelor's,16,23194,658,2320.2395283347046,4.0,0
10063,24,Marketing,PhD,5,8479,625,63850.267777428075,5.0,0
10064,23,Finance,High School,3,61723,611,16359.544731586066,5.0,0
10065,47,Marketing,PhD,27,56506,708,24437.02132908593,5.0,0
10066,54,Engineering,Bachelor's,32,30675,729,44325.84239381532,2.0,1
10067,37,HR,Master's,15,37804,626,11175.271187857223,3.0,0
10068,50,Sales,Bachelor's,31,49491,758,14071.48454642874,2.0,0
10069,42,Sales,High School,22,14220,651,13170.423495468098,4.0,0
10070,30,Engineering,Master's,11,26438,607,11739.333947073796,2.0,1
10071,42,Engineering,Bachelor's,23,58486,732,64933.745255554466,2.0,0
10072,56,Sales,Master's,32,17110,666,44142.045337008254,4.0,0
10073,37,Engineering,Bachelor's,18,43309,701,2885.271003354915,4.0,0
10074,56,Sales,Bachelor's,36,16091,673,2860.686087377663,4.0,0
10075,18,Sales,Bachelor's,0,48043,636,13959.704818289329,4.0,0
10076,47,Engineering,Master's,22,35547,692,,4.0,0
10077,39,Operations,High School,18,13779,658,24130.006956401223,4.0,0
10078,34,Finance,Master's,15,73045,608,3878.117395805792,5.0,1
10079,39,HR,Master's,18,23370,609,18473.14346253888,3.0,1
10080,18,Engineering,High School,0,22333,655,1000.0,3.0,0
10081,35,Engineering,High School,7,40959,641,9516.739901253606,,0
10082,42,Sales,Master's,23,72343,682,28267.34014814217,3.0,0
10083,55,Engineering,Bachelor's,30,19742,621,16543.099547652215,5.0,0
10084,31,Operations,Bachelor's,4,37684,594,95725.94577530827,2.0,1
10085,28,Engineering,High School,2,46971,560,51807.437245643065,5.0,0
10086,31,Sales,Bachelor's,9,55042,657,11120.90619705696,3.0,0
10087,48,Marketing,High School,27,40370,662,1163.838395857737,5.0,0
10088,41,Sales,Bachelor's,21,29137,626,46709.474835826295,5.0,0
10089,31,Engineering,Master's,8,22102,630,60543.87702661176,4.0,0
10090,44,Marketing,Bachelor's,23,38241,691,42957.25089149789,4.0,0
10091,39,Engineering,Bachelor's,17,19086,732,,3.0,0
10092,49,Finance,PhD,29,6292,602,154326.27230336177,4.0,0
10093,29,Engineering,Master's,7,47189,698,7479.842663228863,3.0,0
10094,34,Operations,Master's,10,62464,708,32202.42816799601,,0
10095,33,Finance,Bachelor's,14,8797,603,59658.64661029435,4.0,0
10096,20,Engineering,Master's,0,19814,623,6719.450935908379,3.0,0
10097,41,Finance,High School,20,52653,663,59719.52588453945,5.0,1
10098,41,Engineering,High School,17,124803,741,,3.0,0
10099,38,Operations,Bachelor's,18,36771,725,93676.72486178993,4.0,0
10100,35,Sales,Bachelor's,15,23463,672,8256.390709167006,5.0,0
10101,21,Marketing,Master's,0,32541,646,76673.09512835866,4.0,1
10102,32,Marketing,Bachelor's,13,82861,675,,4.0,0
10103,33,Engineering,Master's,9,24647,578,30884.179924155746,4.0,0
10104,28,Operations,Master's,8,22482,625,,5.0,0
10105,36,Engineering,Bachelor's,15,27183,700,16246.30585955984,3.0,0
10106,42,Sales,Bachelor's,22,20496,599,6323.782853706619,4.0,0
10107,60,Marketing,Bachelor's,39,39089,667,30570.03977996843,4.0,0
10108,40,Operations,Bachelor's,20,96259,722,,1.0,0
10109,41,Engineering,High School,22,44083,639,20121.070575336187,2.0,0
10110,37,Sales,PhD,18,31212,629,7300.465309606849,3.0,0
10111,18,Sales,High School,0,30482,607,77874.93630305609,4.0,0
